srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.3,44826,149.171.126.9,22,tcp,FIN,0.958945,12648,13098,31,29,35,33,ssh,104681.7109,108377.4375,126,122,255,255,2768082946,2764191330,100,107,0,0,715.469696,731.465371,1424239363,1424239364,7.733428,8.05205,7.63e-4,6.25e-4,1.38e-4,0,0,NA,NA,NA,1,3,4,1,1,1,1,,0
59.166.0.4,54490,149.171.126.2,80,tcp,FIN,1.005661,1580,10168,31,29,3,5,NA,11526.74707,76399.5,12,18,255,255,1261593293,3412237576,132,565,2,192,9529.968845,7674.43997,1421945073,1421945074,91.391818,59.124824,6.69e-4,5.34e-4,1.35e-4,0,0,6,0,0,11,5,5,12,5,5,5,,0
59.166.0.6,28628,149.171.126.9,80,tcp,FIN,1.09305,1684,10168,31,29,3,5,http,11446.86914,70291.38281,14,18,255,255,1209133538,1210178896,120,565,1,3924,8879.157893,7773.42382,1421952195,1421952196,84.052844,64.261941,7.45e-4,5.93e-4,1.52e-4,0,0,1,0,0,1,4,4,3,1,1,1,,0
59.166.0.7,21744,149.171.126.2,53,udp,CON,0.00103,146,178,31,29,0,0,dns,566990.25,691262.125,2,2,0,0,0,0,73,89,0,0,0,0,1421957352,1421957352,0.01,0.008,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,,0
175.45.176.0,64008,149.171.126.15,21,tcp,FIN,0.93388,634,682,254,252,3,4,ftp,4985.651367,5362.57373,12,12,255,255,367471526,809145259,53,57,0,0,4421.989725,105.54882,1424235182,1424235183,84.811908,78.085633,0.12038,0.074931,0.045449,0,1,NA,NA,NA,4,4,1,4,1,1,5,,0
59.166.0.1,33838,149.171.126.5,111,udp,CON,0.029339,568,312,31,29,0,0,NA,116159.375,63805.85547,4,4,0,0,0,0,142,78,0,0,6.580807,12.727922,1424231368,1424231368,4.660333,9.005,0,0,0,0,0,NA,NA,NA,4,4,4,5,1,1,3,,0
175.45.176.2,500,149.171.126.15,500,udp,INT,6.921684,712,0,254,0,0,0,NA,720.05603,0,8,0,0,0,0,0,89,0,0,0,1334.506125,0,1421928124,1421928131,988.812,0,0,0,0,0,2,0,0,0,2,2,2,3,1,1,1,Generic,1
59.166.0.3,3165,149.171.126.3,53214,tcp,FIN,0.011129,2334,16632,31,29,7,12,NA,1631772.875,11641657,36,38,255,255,2119173605,2134323460,65,438,0,0,18.820538,18.304459,1421964244,1421964244,0.308714,0.287892,5.88e-4,4.74e-4,1.14e-4,0,0,0,0,0,9,8,4,5,1,1,3,,0
59.166.0.2,12795,149.171.126.5,49012,tcp,FIN,0.120432,320,1878,31,29,1,2,ftp-data,17736.15039,109206.8594,6,8,255,255,1390947514,3796103782,53,235,0,0,1689.651116,41.662145,1424236068,1424236068,24.0166,17.136857,5.85e-4,4.72e-4,1.13e-4,0,0,NA,NA,NA,3,4,8,3,1,1,5,,0
59.166.0.1,14587,149.171.126.5,80,tcp,FIN,1.026356,1580,10168,31,29,3,5,http,11294.32715,74859.01563,12,18,255,255,3320623872,3321672565,132,565,1,3924,9561.24419,7699.502349,1424245939,1424245940,93.250094,60.343232,6.45e-4,5.17e-4,1.28e-4,0,0,1,NA,NA,2,1,2,6,2,1,2,,0
175.45.176.0,50524,149.171.126.13,8089,tcp,CON,0.354393,172,86,254,60,1,1,NA,2912.02124,970.673767,4,2,255,255,2698907881,3054320541,43,43,0,0,6468.948967,0,1424235321,1424235321,118.131,0.001,0.354377,0.236555,0.117822,0,0,NA,NA,NA,11,3,2,3,2,1,3,,0
59.166.0.8,26597,149.171.126.6,6881,tcp,FIN,9.121689,35930,1641360,31,29,55,583,NA,31463.47266,1438396.75,644,1278,255,255,3556139694,1413156684,56,1284,0,0,5910.069057,4191.050316,1424223616,1424223625,14.207753,7.144923,0.009584,0.004765,0.004819,0,0,NA,NA,NA,1,8,3,2,1,1,1,,0
59.166.0.9,33473,149.171.126.5,50857,tcp,FIN,0.016113,2438,19242,31,29,7,13,NA,1178675.625,9314715,38,40,255,255,1334869166,3490701904,64,481,0,0,27.069156,27.35226,1424236926,1424236926,0.438694,0.401,9.35e-4,4.71e-4,4.64e-4,0,0,NA,NA,NA,10,11,3,4,1,1,2,,0
59.166.0.8,56158,149.171.126.1,6881,tcp,CON,0.685003,1436,1436,31,29,4,4,NA,15579.49414,15579.49414,14,14,255,255,2767184424,2860462094,103,103,0,0,2903.967585,87.535711,1424241353,1424241354,51.246694,52.655078,8.9e-4,4.86e-4,4.04e-4,0,0,NA,NA,NA,13,13,8,8,8,2,12,,0
59.166.0.1,62452,149.171.126.1,22596,tcp,FIN,0.045814,3926,55310,31,29,7,27,NA,675252.125,9516218,66,68,255,255,449862065,479559312,59,813,0,0,41.664105,40.944757,1424224885,1424224885,0.722222,0.686303,6.5e-4,5.15e-4,1.35e-4,0,0,NA,NA,NA,12,3,3,7,1,1,1,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,1e-6,264,0,60,0,0,0,dns,1056000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424259073,1424259073,0.001,0,0,0,0,0,0,NA,NA,NA,50,50,50,50,50,34,50,,0
